==================================================================
fastsimcoal started on 26/06/2025 at 16:00:21

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
174	1	data unknown	13801.7	0	0
175	1	data unknown	15288.1	0	0
176	1	data unknown	1764.45	0	0
177	1	data unknown	2036.33	0	0
178	1	data unknown	34027.1	0	0
179	1	data unknown	2027.58	0	0
180	1	data unknown	20346.5	0	0
181	1	data unknown	7118.21	0	0
182	1	data unknown	16533.7	0	0
183	1	data unknown	2048.93	0	0
184	1	data unknown	18119.7	0	0
185	1	data unknown	33890.7	0	0
186	1	data unknown	1682.24	0	0
187	1	data unknown	2862.03	0	0
188	1	data unknown	11864.4	0	0
189	1	data unknown	2006.37	0	0
190	1	data unknown	502.853	0	0
191	1	data unknown	2005.81	0	0
192	1	data unknown	13612	0	0
193	1	data unknown	8178.5	0	0
194	1	data unknown	18593.8	0	0
195	1	data unknown	1166.08	0	0
196	1	data unknown	7198.01	0	0
197	1	data unknown	2049.76	0	0
198	1	data unknown	10096.1	0	0
199	1	data unknown	11096.9	0	0
200	1	data unknown	635.376	0	0
201	1	data unknown	2018.33	0	0
202	1	data unknown	8692.11	0	0
203	1	data unknown	12111.1	0	0
204	1	data unknown	17519.9	0	0
205	1	data unknown	18242.6	0	0
206	1	data unknown	865.059	0	0
207	1	data unknown	10440.5	0	0
208	1	data unknown	2167.76	0	0
209	1	data unknown	28077.3	0	0
210	1	data unknown	869.598	0	0
211	1	data unknown	10017.8	0	0
212	1	data unknown	2019.85	0	0
213	1	data unknown	14711.8	0	0
214	1	data unknown	645.103	0	0
215	1	data unknown	1762.28	0	0
216	1	data unknown	20994.6	0	0
217	1	data unknown	2028.45	0	0
218	1	data unknown	17454.9	0	0
219	1	data unknown	2025.78	0	0
220	1	data unknown	2049.44	0	0
221	1	data unknown	9008.81	0	0
222	1	data unknown	2402.13	0	0
223	1	data unknown	1691.06	0	0
224	1	data unknown	10829.1	0	0
225	1	data unknown	9378.45	0	0
226	1	data unknown	5556.39	0	0
227	1	data unknown	588.226	0	0
228	1	data unknown	4478.17	0	0
229	1	data unknown	1356.62	0	0
230	1	data unknown	2004.72	0	0
231	1	data unknown	26257	0	0
232	1	data unknown	302.925	0	0
233	1	data unknown	16848.7	0	0
234	1	data unknown	3516.98	0	0
235	1	data unknown	366.364	0	0
236	1	data unknown	1354.22	0	0
