N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,9458,0,0.17222819240136666,0.10024839999999907,0.3658,0.1471,0.09610367346938584,0.04547763265306077,0.6478133352085912,1.40821076467302
150000,5000,6487,0,0.24224975016622285,0.10745759999999882,0.4089,0.1419,0.10227044897958962,0.028824000000000457,0.4408659902256128,-0.3298650436668758
150000,5000,9366,0,0.13658916378461483,0.10048999999999865,0.4135,0.1176,0.10053746938775286,0.05213714285714233,0.3263998437651126,3.605767635175107
150000,5000,9875,0,0.15882649810914118,0.10182799999999849,0.3748,0.1002,0.09684342857142599,0.05098718367346918,0.5766731546923135,4.676834258762723
150000,5000,5024,0,0.08521591094622638,0.10234503999999829,0.4225,0.2003,0.10322171428571186,0.06932204081632627,0.34567674346759963,2.0147385332818954
150000,5000,11890,0,0.2155320057428488,0.10111375999999903,0.3613,0.1224,0.09405959183673308,0.0364520000000002,0.6086541406720467,1.2216068843974284
150000,5000,9125,0,0.12987141320358864,0.09966727999999846,0.3885,0.1658,0.09492089795918149,0.05858922448979574,0.34589802472565834,2.133460119617388
150000,5000,6917,0,0.2632982674387344,0.10187895999999821,0.4225,0.1561,0.10162538775509933,0.017197551020407927,0.2836540135905499,-1.8539238575337575
150000,5000,6313,0,0.19455245511910513,0.09790183999999827,0.3984,0.1814,0.09432032653060979,0.03770367346938761,0.22150013581158357,-0.2526362806886774
150000,5000,8107,0,0.3261401610578597,0.094901999999999,0.3926,0.0003,0.09639983673469195,4.644897959183673e-05,0.3658527417480527,-0.6332677277766304
150000,5000,7934,0,0.20793999173757138,0.10165503999999878,0.3848,0.0925,0.09616367346938558,0.03714906122448999,0.4374702237688838,2.9199093639600826
150000,5000,9204,0,0.3689570636747932,0.10690623999999867,0.3881,0.0014,0.09845444897958974,0.00010587755102040819,0.49948060918595083,-2.0065324530016215
150000,5000,11264,0,0.11833878018009525,0.10602175999999863,0.3959,0.163,0.10323273469387505,0.06393534693877458,0.6155634281312485,2.7706645644252488
150000,5000,8871,0,0.10436344943987097,0.08976095999999921,0.3611,0.1316,0.0902938775510189,0.05529804081632685,0.43985374256863274,3.2275122630141193
150000,5000,7232,0,0.17283839564556958,0.10100759999999828,0.4242,0.1178,0.1029488979591806,0.039525306122449345,0.3190480366382189,1.839434201107789
150000,5000,8109,0,0.09519985787231722,0.09928271999999916,0.386,0.2078,0.0954991836734671,0.06854579591836742,0.3964619190881976,1.748692857578039
150000,5000,8796,0,0.35755314878963085,0.09856799999999837,0.3793,0.0001,0.09328840816326307,4e-06,0.3725187285646618,-1.1027964465679785
150000,5000,8946,0,0.21378291170947838,0.09676295999999834,0.3776,0.0935,0.09375232653060993,0.031602367346939136,0.410858758427145,1.878478581661532
150000,5000,6745,0,0.23955366117804588,0.10500687999999848,0.4045,0.1694,0.10130522448979316,0.027534857142857305,0.4463513821841769,-0.995463171719385
